,Global,Cluster 0,Cluster 1,Cluster 2,Cluster 3
Rings,9.93,8.36,17.09,12.36,23.11
Shell weight,0.24,0.2,0.37,0.32,0.45
Height,0.14,0.13,0.17,0.16,0.18
Whole weight,0.83,0.71,1.15,1.09,1.32
Sex_%_M,36.58,37.08,51.36,29.59,53.57
Sex_%_I,32.13,40.19,11.56,13.35,0.0
Sex_%_F,31.29,22.73,37.07,57.06,46.43
